Date,SeasonTag,HomeTeam,AwayTeam,Opponent,IsHome,FTHG,FTAG,ChelseaGoals,OppGoals,FTR,Target,Points,FormPoints_5,GoalsFor_5,GoalsAgainst_5,GoalDiff_5,WinRate_5,B365H,B365D,B365A,Odds_Win,Odds_Draw,Odds_Loss,ImpP_Win,ImpP_Draw,ImpP_Loss,Overround,LogOdds_Win,LogOdds_Draw,LogOdds_Loss
2020-02-29,E0 (1),Bournemouth,Chelsea,Bournemouth,0,2,2,2,2,D,Draw,1,5.0,6.0,8.0,-2.0,0.2,4.75,3.8,1.72,1.72,3.8,4.75,0.5510440835266821,0.24941995359628769,0.19953596287703013,1.0550795593635252,0.5423242908253617,1.33500106673234,1.55814461804655
2020-03-08,E0 (1),Chelsea,Everton,Everton,1,4,0,4,0,H,Win,3,6.0,8.0,9.0,-1.0,0.2,1.8,3.9,4.2,1.8,3.9,4.2,0.5290697674418605,0.24418604651162792,0.22674418604651161,1.05006105006105,0.5877866649021191,1.3609765531356006,1.4350845252893227
2020-06-21,E0 (1),Aston Villa,Chelsea,Aston Villa,0,1,2,2,1,A,Win,3,8.0,10.0,7.0,3.0,0.4,6.0,4.5,1.5,1.5,4.5,6.0,0.631578947368421,0.21052631578947367,0.15789473684210525,1.0555555555555556,0.4054651081081644,1.5040773967762742,1.791759469228055
2020-06-25,E0 (1),Chelsea,Man City,Man City,1,2,1,2,1,H,Win,3,10.0,10.0,6.0,4.0,0.6,4.0,4.0,1.8,4.0,4.0,1.8,0.23684210526315788,0.23684210526315788,0.5263157894736842,1.0555555555555556,1.3862943611198906,1.3862943611198906,0.5877866649021191
2020-07-01,E0 (1),West Ham,Chelsea,West Ham,0,3,2,2,3,H,Loss,0,13.0,12.0,5.0,7.0,0.8,5.5,4.33,1.57,1.57,4.33,5.5,0.6067809651932196,0.2200106501970796,0.17320838460970087,1.0497077391945075,0.45107561936021673,1.4655675420143985,1.7047480922384253
2020-07-04,E0 (1),Chelsea,Watford,Watford,1,3,0,3,0,H,Win,3,10.0,12.0,7.0,5.0,0.6,1.4,4.75,8.0,1.4,4.75,8.0,0.6803939122649956,0.20053715308863027,0.11906893464637423,1.0498120300751879,0.3364722366212129,1.55814461804655,2.0794415416798357
2020-07-07,E0 (1),Crystal Palace,Chelsea,Crystal Palace,0,2,3,3,2,A,Win,3,12.0,13.0,5.0,8.0,0.8,8.5,4.5,1.4,1.4,4.5,8.5,0.6775907883082374,0.21080602302922938,0.11160318866253321,1.054154995331466,0.3364722366212129,1.5040773967762742,2.1400661634962708
2020-07-11,E0 (1),Sheffield United,Chelsea,Sheffield United,0,3,0,0,3,H,Loss,0,12.0,12.0,7.0,5.0,0.8,6.0,3.8,1.6,1.6,3.8,6.0,0.5925155925155925,0.24948024948024947,0.15800415800415799,1.0548245614035088,0.47000362924573563,1.33500106673234,1.791759469228055
2020-07-14,E0 (1),Chelsea,Norwich,Norwich,1,1,0,1,0,H,Win,3,9.0,10.0,9.0,1.0,0.6,1.12,9.5,17.0,1.12,9.5,17.0,0.8447536353175019,0.09959200753216865,0.05565435715032954,1.0569438301636442,0.11332868530700327,2.2512917986064953,2.833213344056216
2020-07-22,E0 (1),Liverpool,Chelsea,Liverpool,0,5,3,3,5,H,Loss,0,9.0,9.0,8.0,1.0,0.6,2.0,3.75,3.5,3.5,3.75,2.0,0.27149321266968324,0.25339366515837103,0.4751131221719457,1.0523809523809524,1.252762968495368,1.3217558399823195,0.6931471805599453
